[2026-07-22T13:42:25.907Z] GET https://github.com/github/spec-kit → pending (?ms, ?B)
[2026-07-22T13:42:26.842Z] GET https://github.githubassets.com/assets/light-62b06818b06b09b7.css → 200 (248ms, 76753B)
[2026-07-22T13:42:26.842Z] GET https://github.githubassets.com/assets/light_high_contrast-44cd405df9340c5c.css → 200 (323ms, 77375B)
[2026-07-22T13:42:26.843Z] GET https://github.githubassets.com/assets/dark-f3311053b052c5d4.css → 200 (323ms, 76585B)
[2026-07-22T13:42:26.843Z] GET https://github.githubassets.com/assets/dark_high_contrast-6739a26cef6aaf8e.css → 200 (321ms, 77269B)
[2026-07-22T13:42:26.843Z] GET https://github.githubassets.com/assets/primer-primitives-ac2f4b33720c6312.css → 200 (254ms, ?B)
[2026-07-22T13:42:26.843Z] GET https://github.githubassets.com/assets/primer-bb3e7caff8347285.css → 200 (255ms, ?B)
[2026-07-22T13:42:26.843Z] GET https://github.githubassets.com/assets/global-1832d803adebd2b4.css → 200 (323ms, ?B)
[2026-07-22T13:42:26.843Z] GET https://github.githubassets.com/assets/github-dd65f23f346b226a.css → 200 (256ms, 127546B)
[2026-07-22T13:42:26.843Z] GET https://github.githubassets.com/assets/repository-6534fbc3f5e83ac0.css → 200 (322ms, 31143B)
[2026-07-22T13:42:26.843Z] GET https://github.githubassets.com/assets/code-a5d20170108e1057.css → 200 (256ms, ?B)
[2026-07-22T13:42:26.921Z] GET https://github.githubassets.com/assets/high-contrast-cookie-9d73b8ae1abef9dc.js → pending (?ms, ?B)
[2026-07-22T13:42:26.921Z] GET https://github.githubassets.com/assets/wp-runtime-55544fdd65970c4a.js → pending (?ms, ?B)
[2026-07-22T13:42:26.921Z] GET https://github.githubassets.com/assets/app-foundation-3d8531a467106c35.js → pending (?ms, ?B)
[2026-07-22T13:42:26.922Z] GET https://github.githubassets.com/assets/app-runtime-214ee299283f830f.js → pending (?ms, ?B)
[2026-07-22T13:42:26.922Z] GET https://github.githubassets.com/assets/fetch-utilities-564ecb244c1ad3b8.js → pending (?ms, ?B)
[2026-07-22T13:42:26.922Z] GET https://github.githubassets.com/assets/78205-77cb95bbaf5d2f94.js → pending (?ms, ?B)
[2026-07-22T13:42:26.922Z] GET https://github.githubassets.com/assets/89415-f37fe7ab0182fc38.js → pending (?ms, ?B)
[2026-07-22T13:42:26.922Z] GET https://github.githubassets.com/assets/environment-5a0cc825224011c7.js → pending (?ms, ?B)
[2026-07-22T13:42:26.922Z] GET https://github.githubassets.com/assets/app-runtime.f5d0397a71a59372.module.css → 200 (176ms, ?B)
[2026-07-22T13:42:26.922Z] GET https://github.githubassets.com/assets/catalyst-03fc2ee1b163e4cb.js → pending (?ms, ?B)
[2026-07-22T13:42:26.922Z] GET https://github.githubassets.com/assets/selector-observer-31e911ea8e9046d3.js → pending (?ms, ?B)
[2026-07-22T13:42:26.922Z] GET https://github.githubassets.com/assets/relative-time-element-dfbe05d051d2745a.js → pending (?ms, ?B)
[2026-07-22T13:42:26.923Z] GET https://github.githubassets.com/assets/296-cddf2922ea3a416c.js → pending (?ms, ?B)
[2026-07-22T13:42:26.923Z] GET https://github.githubassets.com/assets/816-29b762091e5033a9.js → pending (?ms, ?B)
[2026-07-22T13:42:26.923Z] GET https://github.githubassets.com/assets/65637-e357a8be37eda955.js → pending (?ms, ?B)
[2026-07-22T13:42:26.923Z] GET https://github.githubassets.com/assets/31721-903cd2b317a8cc03.js → pending (?ms, ?B)
[2026-07-22T13:42:26.923Z] GET https://github.githubassets.com/assets/46740-0a6e4901e467cc61.js → pending (?ms, ?B)
